subject,exp_num,C,modality
1,6,0.954545454545455,ED
1,6,0.892857142857143,EE
2,6,0.852272727272727,ED
2,6,0.6875,EE
3,6,0.857954545454545,ED
3,6,0.732142857142857,EE
4,6,0.903409090909091,ED
4,6,0.955357142857143,EE
5,6,0.801136363636364,ED
5,6,0.633928571428571,EE
6,6,0.920454545454545,ED
6,6,0.866071428571429,EE
7,6,0.892045454545455,ED
7,6,0.794642857142857,EE
8,6,0.863636363636364,ED
8,6,0.732142857142857,EE
9,6,0.835227272727273,ED
9,6,0.732142857142857,EE
10,6,0.920454545454545,ED
10,6,0.875,EE
11,6,0.715909090909091,ED
11,6,0.714285714285714,EE
12,6,0.869318181818182,ED
12,6,0.741071428571429,EE
13,6,0.880681818181818,ED
13,6,0.839285714285714,EE
14,6,0.909090909090909,ED
14,6,0.830357142857143,EE
15,6,0.823863636363636,ED
15,6,0.669642857142857,EE
16,6,0.971590909090909,ED
16,6,0.955357142857143,EE
17,6,0.875,ED
17,6,0.696428571428571,EE
18,6,0.988636363636364,ED
18,6,0.964285714285714,EE
19,6,0.897727272727273,ED
19,6,0.794642857142857,EE
20,6,0.795454545454545,ED
20,6,0.714285714285714,EE
21,6,0.943181818181818,ED
21,6,0.803571428571429,EE
22,6,0.8125,ED
22,6,0.767857142857143,EE
23,6,0.8125,ED
23,6,0.544642857142857,EE
24,6,0.897727272727273,ED
24,6,0.803571428571429,EE
25,6,0.795454545454545,ED
25,6,0.723214285714286,EE
26,6,0.835227272727273,ED
26,6,0.767857142857143,EE
27,6,0.863636363636364,ED
27,6,0.723214285714286,EE
28,6,0.835227272727273,ED
28,6,0.607142857142857,EE
29,6,0.880681818181818,ED
29,6,0.758928571428571,EE
30,6,0.909090909090909,ED
30,6,0.901785714285714,EE
31,6,0.926136363636364,ED
31,6,0.857142857142857,EE
32,6,0.806818181818182,ED
32,6,0.508928571428571,EE
33,6,0.892045454545455,ED
33,6,0.803571428571429,EE
34,6,0.897727272727273,ED
34,6,0.803571428571429,EE
35,6,0.875,ED
35,6,0.767857142857143,EE
36,6,0.892045454545455,ED
36,6,0.785714285714286,EE
37,6,0.8125,ED
37,6,0.482142857142857,EE
38,6,0.835227272727273,ED
38,6,0.732142857142857,EE
39,6,0.9375,ED
39,6,0.857142857142857,EE
40,6,0.835227272727273,ED
40,6,0.535714285714286,EE
41,6,0.806818181818182,ED
41,6,0.642857142857143,EE
42,6,0.818181818181818,ED
42,6,0.723214285714286,EE
43,6,0.971590909090909,ED
43,6,0.9375,EE
44,6,0.8125,ED
44,6,0.491071428571429,EE
45,6,0.75,ED
45,6,0.732142857142857,EE
46,6,0.806818181818182,ED
46,6,0.6875,EE
47,6,0.948863636363636,ED
47,6,0.821428571428571,EE
48,6,0.863636363636364,ED
48,6,0.8125,EE
49,6,0.829545454545455,ED
49,6,0.571428571428571,EE
50,6,0.909090909090909,ED
50,6,0.803571428571429,EE
51,6,0.715909090909091,ED
51,6,0.517857142857143,EE
52,6,0.857954545454545,ED
52,6,0.705357142857143,EE
53,6,0.8125,ED
53,6,0.580357142857143,EE
54,6,0.801136363636364,ED
54,6,0.428571428571429,EE
55,6,0.818181818181818,ED
55,6,0.571428571428571,EE
56,6,0.892045454545455,ED
56,6,0.732142857142857,EE
57,6,0.767045454545455,ED
57,6,0.660714285714286,EE
58,6,0.806818181818182,ED
58,6,0.607142857142857,EE
59,6,0.818181818181818,ED
59,6,0.589285714285714,EE
60,6,0.806818181818182,ED
60,6,0.446428571428571,EE
61,6,0.8125,ED
61,6,0.678571428571429,EE
62,6,0.857954545454545,ED
62,6,0.678571428571429,EE
63,6,0.903409090909091,ED
63,6,0.910714285714286,EE
64,6,0.863636363636364,ED
64,6,0.75,EE
65,6,0.8125,ED
65,6,0.473214285714286,EE
66,6,0.744318181818182,ED
66,6,0.616071428571429,EE
67,7,0.5859375,ED
67,7,0.660714285714286,EE
68,7,0.5078125,ED
68,7,0.571428571428571,EE
69,7,0.5,ED
69,7,0.732142857142857,EE
70,7,0.8828125,ED
70,7,0.839285714285714,EE
71,7,0.7421875,ED
71,7,0.839285714285714,EE
72,7,0.6640625,ED
72,7,0.678571428571429,EE
73,7,0.5234375,ED
73,7,0.732142857142857,EE
74,7,0.6640625,ED
74,7,0.75,EE
75,7,0.7421875,ED
75,7,0.741071428571429,EE
76,7,0.6796875,ED
76,7,0.758928571428571,EE
77,7,0.6484375,ED
77,7,0.767857142857143,EE
78,7,0.8203125,ED
78,7,0.758928571428571,EE
79,7,0.8828125,ED
79,7,0.875,EE
80,7,0.65625,ED
80,7,0.696428571428571,EE
81,7,0.796875,ED
81,7,0.803571428571429,EE
82,7,0.75,ED
82,7,0.767857142857143,EE
83,7,0.5,ED
83,7,0.607142857142857,EE
84,7,0.5,ED
84,7,0.571428571428571,EE
85,7,0.6875,ED
85,7,0.794642857142857,EE
86,7,0.671875,ED
86,7,0.830357142857143,EE
87,7,0.828125,ED
87,7,0.767857142857143,EE
88,7,0.9609375,ED
88,7,0.9375,EE
89,7,0.53125,ED
89,7,0.517857142857143,EE
90,7,0.78125,ED
90,7,0.830357142857143,EE
91,7,0.3828125,ED
91,7,0.446428571428571,EE
92,7,0.609375,ED
92,7,0.696428571428571,EE
93,7,0.75,ED
93,7,0.875,EE
94,7,0.4921875,ED
94,7,0.571428571428571,EE
95,7,0.734375,ED
95,7,0.785714285714286,EE
96,7,0.515625,ED
96,7,0.669642857142857,EE
97,7,0.53125,ED
97,7,0.714285714285714,EE
98,7,0.6328125,ED
98,7,0.794642857142857,EE
99,7,0.6640625,ED
99,7,0.785714285714286,EE
100,7,0.4765625,ED
100,7,0.517857142857143,EE
101,7,0.59375,ED
101,7,0.660714285714286,EE
102,7,0.546875,ED
102,7,0.642857142857143,EE
103,7,0.6328125,ED
103,7,0.794642857142857,EE
104,7,0.546875,ED
104,7,0.6875,EE
105,7,0.9609375,ED
105,7,0.866071428571429,EE
106,7,0.9609375,ED
106,7,0.839285714285714,EE
107,7,0.5,ED
107,7,0.428571428571429,EE
108,7,0.53125,ED
108,7,0.517857142857143,EE
109,7,0.53125,ED
109,7,0.767857142857143,EE
110,7,0.75,ED
110,7,0.794642857142857,EE
111,7,0.4921875,ED
111,7,0.580357142857143,EE
112,7,0.828125,ED
112,7,0.803571428571429,EE
113,7,0.5703125,ED
113,7,0.758928571428571,EE
114,7,0.6640625,ED
114,7,0.741071428571429,EE
115,7,0.484375,ED
115,7,0.544642857142857,EE
116,7,0.5,ED
116,7,0.526785714285714,EE
117,7,0.6328125,ED
117,7,0.830357142857143,EE
118,7,0.5234375,ED
118,7,0.535714285714286,EE
119,7,0.5859375,ED
119,7,0.607142857142857,EE
120,7,0.796875,ED
120,7,0.857142857142857,EE
121,7,0.484375,ED
121,7,0.526785714285714,EE
122,7,0.8359375,ED
122,7,0.794642857142857,EE
123,7,0.78125,ED
123,7,0.830357142857143,EE
124,7,0.8203125,ED
124,7,0.848214285714286,EE
125,7,0.53125,ED
125,7,0.660714285714286,EE
126,7,0.5234375,ED
126,7,0.633928571428571,EE
127,7,0.7421875,ED
127,7,0.732142857142857,EE
128,7,0.7265625,ED
128,7,0.6875,EE
129,7,0.921875,ED
129,7,0.839285714285714,EE
130,7,0.5859375,ED
130,7,0.767857142857143,EE
131,7,0.7734375,ED
131,7,0.866071428571429,EE
132,7,0.53125,ED
132,7,0.723214285714286,EE
133,7,0.6328125,ED
133,7,0.741071428571429,EE
134,7,0.4921875,ED
134,7,0.5625,EE
135,7,0.4609375,ED
135,7,0.535714285714286,EE
136,7,0.515625,ED
136,7,0.491071428571429,EE
137,7,0.859375,ED
137,7,0.821428571428571,EE
